Station Number,Station,Town,County,Major Drainage,Site Type,Sample Type,Latitude,Longitude
S-114,CHASE MILLS STREAM - STATION 114,EAST MACHIAS,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,ALGAE,44.75439870,-67.36412121
S-114,CHASE MILLS STREAM - STATION 114,EAST MACHIAS,WASHINGTON,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.75439870,-67.36412121
S-115,WEST BRANCH PENOBSCOT RIVER - STATION 115,T02 R10 WELS,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.84671109,-69.03560272
S-116,WEST BRANCH PENOBSCOT RIVER - STATION 116,T02 R10 WELS,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.83837983,-68.97337922
S-117,GREENLAW STREAM - STATION 117,GARFIELD PLT,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.62891208,-68.53663944
S-118,AROOSTOOK RIVER - STATION 118,MASARDIS,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.50379750,-68.36315299
S-118,AROOSTOOK RIVER - STATION 118,MASARDIS,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.50379750,-68.36315299
S-119,MACHIAS RIVER (AROOSTOOK) - STATION 119,T11 R07 WELS,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.56279715,-68.65219269
S-120,COOKS BROOK - STATION 120,WATERBORO,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.56730487,-70.67116778
S-121,WEST BRANCH PLEASANT RIVER - STATION 121,KATAHDIN IRON WORKS TWP,PISCATAQUIS,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.45837228,-69.20981832
S-122,LITTLE ANDROSCOGGIN RIVER - STATION 122,MECHANIC FALLS,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.11007125,-70.41672389
